,/g/11hy9m64ws,/g/11j30ybfx6,/g/11q4gh4b8f,/m/0b7k33,/m/0cycc,9mm,Naloxone,bronchiolitis,drug overdose,heat exhaustion,heat stroke,influenza,narcan,nirsevimab,overdose,rsv,shotgun
US-WY-759,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-ID-760,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MT-762,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WY-764,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-765,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MT-766,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WY-767,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WY-770,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-771,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CO-773,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AZ-789,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NM-790,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MT-798,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-800,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OR-801,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-802,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-803,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-804,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-807,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WA-810,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NV-811,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OR-813,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WA-819,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WA-820,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OR-821,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-825,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-828,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NV-839,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-855,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-862,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-866,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA-868,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WA-881,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AK,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AL,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AR,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AZ,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CA,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CO,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CT,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-DC,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-DE,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-FL,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-GA,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-HI,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IA,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-ID,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IL,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IN,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-KS,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-KY,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-LA,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MA,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MD,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-ME,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MI,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MN,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MO,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MS,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MT,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NC,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-ND,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NE,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NH,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NJ,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NM,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NV,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NY,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OH,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OK,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OR,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-PA,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-RI,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-SC,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-SD,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TN,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-UT,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-VA,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-VT,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WA,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WI,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WV,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WY,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
